contigIdx	contigIdxMate	AvgCoverage
259	161	1.42819
259	201	0.222535
259	215	0.00897642
259	222	0.0531886
259	256	0.00696677
259	259	89.6621
259	302	0.0403269
259	313	0.00777063
260	147	0.668014
260	260	35.5483
261	92	0.255191
261	261	29.4056
262	45	0.0244386
262	156	1.34049
262	262	35.0578
263	263	18.3834
264	95	0.103348
264	264	18.9466
265	55	0.0198854
265	64	0.00145198
265	125	0.0216547
265	139	0.000192315
265	176	0.0174237
265	265	23.0146
266	150	0.969058
266	266	34.8262
267	2	1.66116
267	267	37.4733
268	6	0.00510812
268	112	0.0368636
268	238	0.0287758
268	248	0.0316704
268	268	37.9062
268	284	0.01575
268	317	0.324706
269	42	0.0329321
269	107	0.00174494
269	198	0.000739382
269	232	0.00374128
269	269	21.6845
270	17	0.0278069
270	99	0.0365116
270	181	0.00548078
270	183	0.0120899
270	196	0.0243411
270	215	0.0132183
270	246	0.00757637
270	270	66.1277
270	282	0.00322399
270	283	0.0121705
270	319	0.0243411
271	16	0.000425691
271	17	0.00168539
271	35	0.00151164
271	45	0.00311884
271	99	0.000886132
271	183	0.000755819
271	196	0.000660255
271	199	0.000278002
271	214	0.00172014
271	217	0.0032144
271	247	0.000295377
271	256	0.00273658
271	271	66.4828
271	273	0.000443066
271	275	0.000712381
271	276	0.000877444
271	295	0.000408316
271	302	0.00060813
271	311	0.000425691
271	313	0.00228483
272	99	0.00436261
272	128	0.615354
272	272	72.026
273	159	0.860281
273	217	0.00408685
273	273	65.7393
274	274	16.175
275	67	0.00235919
275	141	0.00112061
275	275	70.6284
276	85	0.0103844
276	122	0.0207689
276	153	0.0207689
276	166	0.0103844
276	204	0.0103844
276	205	0.0103844
276	207	0.00302593
276	220	0.0286088
276	271	0.0103844
276	276	66.7867
277	159	2.47675
277	277	53.0949
278	31	0.687841
278	278	42.3011
279	279	36.3844
280	280	29.4779
281	80	0.691907
281	149	0.0185897
281	188	0.0319742
281	281	41.3264
282	14	0.00537587
282	259	0.00121046
282	282	70.3417
283	14	0.0105071
283	77	0.00204812
283	86	0.0414814
283	117	0.000280564
283	161	0.00102406
283	215	0.00210423
283	239	0.00190783
283	270	0.00210423
283	283	74.2836
283	304	0.0041804
283	319	0.0125552
284	6	0.295926
284	9	0.00743018
284	33	0.104279
284	112	0.359723
284	121	0.0307456
284	235	0.0591852
284	238	0.171919
284	248	0.0983859
284	252	0.0386882
284	260	0.0174225
284	284	43.2916
285	112	0.00571792
285	268	0.00540025
285	284	0.00540025
285	285	49.5923
286	42	0.306133
286	241	0.00163892
286	286	21.9014
287	65	0.00841438
287	130	0.602339
287	173	0.0147525
287	214	0.0234947
287	254	0.157797
287	276	0.0152989
287	287	60.8689
287	315	0.00437111
288	129	0.612208
288	175	1.08282
288	288	34.5298
289	289	33.8954
290	225	0.682334
290	290	40.517
290	294	0.0346132
290	301	0.00557972
291	291	40.8688
292	194	0.00340258
292	292	31.4253
293	52	1.10167
293	293	38.0569
293	318	0.514385
294	290	0.0225388
294	294	36.4899
295	79	0.501118
295	153	0.00675072
295	166	0.0066613
295	196	0.00675072
295	220	0.00675072
295	222	0.00147532
295	242	0.0270029
295	295	62.2506
296	58	0.060749
296	296	33.1208
297	297	37.4568
298	75	0.0431367
298	298	18.1694
299	15	0.33314
299	269	0.00394523
299	299	37.9395
300	29	0.0144988
300	203	0.109362
300	212	0.528169
300	300	33.0352
301	63	1.60535
301	290	0.0489749
301	301	42.1341
302	10	0.00132987
302	14	0.00308939
302	39	0.000634245
302	45	0.00139125
302	85	0.00261882
302	86	0.00308939
302	105	0.0440493
302	141	0.00308939
302	153	0.00926816
302	166	0.00617878
302	167	0.01113
302	195	0.0025779
302	196	0.00617878
302	204	0.00308939
302	205	0.00693578
302	220	0.00685394
302	221	0.00100252
302	222	0.0359474
302	237	0.00083884
302	256	0.0024756
302	259	0.00450109
302	295	0.000716083
302	302	73.463
303	95	0.00277856
303	107	0.0205353
303	134	0.0123733
303	198	0.00125904
303	230	0.0196236
303	241	0.00106367
303	303	20.2428
304	89	0.00419483
304	183	0.0527849
304	196	0.017595
304	215	0.00850618
304	270	0.00769051
304	283	0.0419483
304	304	63.7271
304	311	0.645654
305	195	0.0700576
305	305	64.7967
306	242	1.6601
306	306	58.8692
307	307	36.3122
308	308	39.9617
309	132	0.929659
309	269	0.0075059
309	309	40.7169
310	39	0.00979021
310	142	0.0115385
310	201	0.00541958
310	239	0.0208042
310	310	62.9184
311	201	0.00113918
311	304	0.101289
311	311	69.7086
312	17	0.00267414
312	35	0.000806486
312	44	0.000742816
312	148	0.0012734
312	228	0.227132
312	256	0.0019101
312	312	72.1087
312	313	0.00248313
313	86	0.0432776
313	90	0.791979
313	166	0.287651
313	183	0.0871321
313	204	0.0435661
313	205	0.329486
313	271	0.0868436
313	312	0.0435661
313	313	50.1261
314	150	0.631309
314	314	38.7622
314	320	1.63445
315	173	0.0057047
315	315	69.8859
316	29	0.248021
316	68	0.307199
316	114	0.916321
316	225	0.0339239
316	316	34.7787
317	87	0.934888
317	268	1.24955
317	317	36.2974
318	225	1.3715
318	293	1.06184
318	318	34.392
319	89	0.00164312
319	122	0.00562311
319	141	0.00146055
319	195	0.00270201
319	270	0.0120495
319	275	0.00164312
319	276	0.00617081
319	283	0.0329718
319	319	74.6468
320	244	0.998007
320	314	1.60414
320	320	34.2429
321	26	0.738449
321	112	0.0261964
321	321	33.0745
322	4	0.595463
322	322	31.744
